0,00	1,00000	0,50000
0,02	1,03000	0,52599
0,04	1,06000	0,55195
0,06	1,09000	0,57789
0,08	1,12000	0,60381
0,10	1,15000	0,62970
0,12	1,18001	0,65557
0,14	1,21001	0,68141
0,16	1,24002	0,70723
0,18	1,27002	0,73303
0,20	1,30003	0,75880
0,22	1,33004	0,78455
0,24	1,36006	0,81027
0,26	1,39007	0,83597
0,28	1,42009	0,86165
0,30	1,45011	0,88730
0,32	1,48013	0,91293
0,34	1,51016	0,93853
0,36	1,54019	0,96411
0,38	1,57022	0,98967
0,40	1,60026	1,01520
0,42	1,63030	1,04071
0,44	1,66034	1,06619
0,46	1,69039	1,09165
0,48	1,72044	1,11709
0,50	1,75050	1,14250
0,52	1,78056	1,16789
0,54	1,81063	1,19325
0,56	1,84070	1,21859
0,58	1,87078	1,24391
0,60	1,90086	1,26920
0,62	1,93095	1,29447
0,64	1,96105	1,31971
0,66	1,99115	1,34493
0,68	2,02126	1,37013
0,70	2,05137	1,39530
0,72	2,08149	1,42045
0,74	2,11162	1,44557
0,76	2,14176	1,47067
0,78	2,17190	1,49575
0,80	2,20205	1,52080
0,82	2,23221	1,54583
0,84	2,26237	1,57083
0,86	2,29254	1,59581
0,88	2,32273	1,62077
0,90	2,35292	1,64570
0,92	2,38311	1,67061
0,94	2,41332	1,69549
0,96	2,44354	1,72035
0,98	2,47376	1,74519
1,00	2,50400	1,77000
1,02	2,53424	1,79479
1,04	2,56450	1,81955
1,06	2,59476	1,84429
1,08	2,62504	1,86901
1,10	2,65532	1,89370
1,12	2,68562	1,91837
1,14	2,71593	1,94301
1,16	2,74624	1,96763
1,18	2,77657	1,99223
1,20	2,80691	2,01680
1,22	2,83726	2,04135
1,24	2,86763	2,06587
1,26	2,89800	2,09037
1,28	2,92839	2,11485
1,30	2,95879	2,13930
1,32	2,98920	2,16373
1,34	3,01962	2,18813
1,36	3,05006	2,21251
1,38	3,08051	2,23687
1,40	3,11098	2,26120
1,42	3,14145	2,28551
1,44	3,17194	2,30979
1,46	3,20245	2,33405
1,48	3,23297	2,35829
1,50	3,26350	2,38250
1,52	3,29405	2,40669
1,54	3,32461	2,43085
1,56	3,35519	2,45499
1,58	3,38578	2,47911
1,60	3,41638	2,50320
1,62	3,44701	2,52727
1,64	3,47764	2,55131
1,66	3,50830	2,57533
1,68	3,53897	2,59933
1,70	3,56965	2,62330
1,72	3,60035	2,64725
1,74	3,63107	2,67117
1,76	3,66181	2,69507
1,78	3,69256	2,71895
1,80	3,72333	2,74280
1,82	3,75411	2,76663
1,84	3,78492	2,79043
1,86	3,81574	2,81421
1,88	3,84658	2,83797
1,90	3,87744	2,86170
1,92	3,90831	2,88541
1,94	3,93921	2,90909
1,96	3,97012	2,93275
1,98	4,00105	2,95639
2,00	4,03200	2,98000
2,02	4,06297	3,00359
2,04	4,09396	3,02715
2,06	4,12497	3,05069
2,08	4,15600	3,07421
2,10	4,18704	3,09770
2,12	4,21811	3,12117
2,14	4,24920	3,14461
2,16	4,28031	3,16803
2,18	4,31144	3,19143
2,20	4,34259	3,21480
2,22	4,37376	3,23815
2,24	4,40496	3,26147
2,26	4,43617	3,28477
2,28	4,46741	3,30805
2,30	4,49867	3,33130
2,32	4,52995	3,35453
2,34	4,56125	3,37773
2,36	4,59258	3,40091
2,38	4,62393	3,42407
2,40	4,65530	3,44720
2,42	4,68669	3,47031
2,44	4,71811	3,49339
2,46	4,74955	3,51645
2,48	4,78101	3,53949
2,50	4,81250	3,56250
2,52	4,84401	3,58549
2,54	4,87555	3,60845
2,56	4,90711	3,63139
2,58	4,93869	3,65431
2,60	4,97030	3,67720
2,62	5,00194	3,70007
2,64	5,03360	3,72291
2,66	5,06528	3,74573
2,68	5,09700	3,76853
2,70	5,12873	3,79130
2,72	5,16049	3,81405
2,74	5,19228	3,83677
2,76	5,22410	3,85947
2,78	5,25594	3,88215
2,80	5,28781	3,90480
2,82	5,31970	3,92743
2,84	5,35163	3,95003
2,86	5,38357	3,97261
2,88	5,41555	3,99517
2,90	5,44756	4,01770
2,92	5,47959	4,04021
2,94	5,51165	4,06269
2,96	5,54374	4,08515
2,98	5,57585	4,10759
3,00	5,60800	4,13000
3,02	5,64017	4,15239
3,04	5,67238	4,17475
3,06	5,70461	4,19709
3,08	5,73687	4,21941
3,10	5,76916	4,24170
3,12	5,80149	4,26397
3,14	5,83384	4,28621
3,16	5,86622	4,30843
3,18	5,89863	4,33063
3,20	5,93107	4,35280
3,22	5,96354	4,37495
3,24	5,99605	4,39707
3,26	6,02858	4,41917
3,28	6,06115	4,44125
3,30	6,09375	4,46330
3,32	6,12638	4,48533
3,34	6,15904	4,50733
3,36	6,19173	4,52931
3,38	6,22446	4,55127
3,40	6,25722	4,57320
3,42	6,29001	4,59511
3,44	6,32283	4,61699
3,46	6,35569	4,63885
3,48	6,38858	4,66069
3,50	6,42150	4,68250
3,52	6,45446	4,70429
3,54	6,48745	4,72605
3,56	6,52047	4,74779
3,58	6,55353	4,76951
3,60	6,58662	4,79120
3,62	6,61975	4,81287
3,64	6,65291	4,83451
3,66	6,68611	4,85613
3,68	6,71934	4,87773
3,70	6,75261	4,89930
3,72	6,78592	4,92085
3,74	6,81925	4,94237
3,76	6,85263	4,96387
3,78	6,88604	4,98535
3,80	6,91949	5,00680
3,82	6,95297	5,02823
3,84	6,98649	5,04963
3,86	7,02005	5,07101
3,88	7,05364	5,09237
3,90	7,08728	5,11370
3,92	7,12095	5,13501
3,94	7,15465	5,15629
3,96	7,18840	5,17755
3,98	7,22218	5,19879
4,00	7,25600	5,22000
4,02	7,28986	5,24119
4,04	7,32376	5,26235
4,06	7,35769	5,28349
4,08	7,39167	5,30461
4,10	7,42568	5,32570
4,12	7,45974	5,34677
4,14	7,49383	5,36781
4,16	7,52797	5,38883
4,18	7,56214	5,40983
4,20	7,59635	5,43080
4,22	7,63061	5,45175
4,24	7,66490	5,47267
4,26	7,69924	5,49357
4,28	7,73361	5,51445
4,30	7,76803	5,53530
4,32	7,80249	5,55613
4,34	7,83699	5,57693
4,36	7,87153	5,59771
4,38	7,90611	5,61847
4,40	7,94074	5,63920
4,42	7,97540	5,65991
4,44	8,01011	5,68059
4,46	8,04487	5,70125
4,48	8,07966	5,72189
4,50	8,11450	5,74250
4,52	8,14938	5,76309
4,54	8,18431	5,78365
4,56	8,21928	5,80419
4,58	8,25429	5,82471
4,60	8,28934	5,84520
4,62	8,32444	5,86567
4,64	8,35959	5,88611
4,66	8,39478	5,90653
4,68	8,43001	5,92693
4,70	8,46529	5,94730
4,72	8,50062	5,96765
4,74	8,53599	5,98797
4,76	8,57140	6,00827
4,78	8,60686	6,02855
4,80	8,64237	6,04880
4,82	8,67792	6,06903
4,84	8,71352	6,08923
4,86	8,74917	6,10941
4,88	8,78486	6,12957
4,90	8,82060	6,14970
4,92	8,85638	6,16981
4,94	8,89222	6,18989
4,96	8,92810	6,20995
4,98	8,96402	6,22999
5,00	9,00000	6,25000
5,02	9,03602	6,26999
5,04	9,07210	6,28995
5,06	9,10822	6,30989
5,08	9,14439	6,32981
5,10	9,18060	6,34970
5,12	9,21687	6,36957
5,14	9,25319	6,38941
5,16	9,28955	6,40923
5,18	9,32597	6,42903
5,20	9,36243	6,44880
5,22	9,39895	6,46855
5,24	9,43551	6,48827
5,26	9,47213	6,50797
5,28	9,50879	6,52765
5,30	9,54551	6,54730
5,32	9,58228	6,56693
5,34	9,61909	6,58653
5,36	9,65596	6,60611
5,38	9,69288	6,62567
